date,start,stop,distance,calories,steps
2021-11-08,10:33,10:39,404,15,595
2021-11-08,18:04,18:13,224,5,330
2021-11-08,19:56,20:00,104,3,154
2021-11-10,08:15,08:37,200,6,295
2021-11-10,09:12,09:33,183,7,270
2021-11-10,10:01,10:05,435,17,548
2021-11-10,10:24,10:34,191,7,282
2021-11-10,12:26,12:30,466,19,554
2021-11-10,15:59,16:41,441,19,583
2021-11-10,17:57,18:01,158,6,233
2021-11-10,18:33,18:37,123,6,181
2021-11-10,18:50,19:02,400,16,507
2021-11-10,19:03,19:08,375,15,466
2021-11-10,19:59,21:14,46,3,69
2021-11-11,07:38,07:42,162,7,233
2021-11-11,08:32,08:37,113,4,167
2021-11-11,09:35,09:39,394,15,510
2021-11-11,09:40,09:46,295,11,405
2021-11-11,11:29,11:34,378,15,519
2021-11-11,13:12,13:16,272,10,371
2021-11-11,15:15,15:25,126,5,186
2021-11-11,15:33,15:48,1227,49,1605
2021-11-11,17:13,17:30,549,19,807
2021-11-11,19:20,19:25,463,17,586
2021-11-11,20:17,20:22,111,3,164
2021-11-12,09:41,09:45,92,2,136
2021-11-12,10:08,10:22,76,3,112
2021-11-12,18:33,19:05,105,6,155
2021-11-12,20:46,21:02,125,5,185
2021-11-12,21:21,21:27,126,4,186
2021-11-12,21:29,21:38,59,2,87
2021-11-13,12:11,12:25,111,6,164
2021-11-13,14:43,14:54,288,11,424
2021-11-13,14:56,15:28,382,16,546
2021-11-13,15:34,15:40,158,5,232
2021-11-13,15:57,16:02,201,6,296
2021-11-13,16:16,16:20,89,3,131
2021-11-13,16:50,17:06,119,4,176
2021-11-13,17:41,18:24,648,24,929
2021-11-13,21:19,22:01,216,11,318
2021-11-13,22:09,22:31,142,7,210
2021-11-14,09:42,09:53,121,4,179
2021-11-14,10:19,10:34,142,5,209
2021-11-14,10:50,10:56,147,5,217
2021-11-14,11:28,11:51,114,6,168
2021-11-14,12:00,12:27,112,8,166
2021-11-14,12:28,12:39,276,9,406
2021-11-14,12:50,12:55,155,4,229
2021-11-14,14:36,14:41,102,3,151
2021-11-14,15:45,15:52,148,4,218
2021-11-14,16:54,17:00,111,4,164
2021-11-14,18:32,18:55,464,15,676
2021-11-14,19:04,19:08,248,9,324
2021-11-14,21:56,22:24,142,6,209
2021-11-14,22:33,22:59,443,17,585
2021-11-15,09:25,09:39,183,6,270
2021-11-15,11:25,11:46,125,6,184
2021-11-15,12:21,12:30,64,3,95
2021-11-15,14:09,14:16,93,3,137
2021-11-15,14:23,14:27,87,3,128
2021-11-15,14:34,14:38,154,4,227
2021-11-15,15:21,15:25,127,4,188
2021-11-15,15:31,15:41,73,4,108
2021-11-15,15:56,16:00,103,4,152
2021-11-15,16:04,16:15,132,5,192
2021-11-15,19:12,19:34,583,24,775
2021-11-15,23:53,23:59,251,9,358
2021-11-16,09:25,09:48,232,10,342
2021-11-16,09:49,09:53,350,14,429
2021-11-16,10:18,10:23,136,5,200
